,start station name,start station id,start station latitude,start station longitude,count
351,Clinton St & Centre St,3326,40.67434,-74.00194698,3035
352,Clinton St & Grand St,350,40.71559509,-73.9870295,57380
353,Clinton St & Joralemon St,143,40.69239502,-73.99337909,16129
354,Clinton St & Tillary St,4225,40.69623297129316,-73.99142056703568,2405
355,Clinton St & Union St,3321,40.6831164,-73.99785267,9340
356,Coffey St & Conover St,3348,40.677236,-74.015665,8077
357,College Ave & E 170 St,4128,40.837576,-73.910489,670
358,Columbia Heights & Cranberry St,216,40.70037867,-73.99548059,10483
359,Columbia St & Degraw St,3422,40.6859296,-74.00242364,11162
360,Columbia St & Kane St,3311,40.68763155,-74.0016256,10039
361,Columbia St & Lorraine St,3333,40.6747055,-74.0075572,1590
362,Columbia St & Rivington St,342,40.71739973,-73.98016555,19350
363,Columbia St & W 9 St,3394,40.6769993,-74.00647134,2448
364,Columbus Ave & W 103 St,3302,40.7969347,-73.9643412291,6000
365,Columbus Ave & W 72 St,3164,40.7770575,-73.97898475,60433
366,Columbus Ave & W 95 St,3301,40.7919557,-73.968087,42713
367,Commerce St & Van Brunt St,3392,40.6812117,-74.00860912,4111
368,Concord St & Bridge St,278,40.69766564,-73.98476437,10886
369,Concourse Village East & E 158 St,4078,40.823732,-73.919379,667
370,Concourse Village West & E 156 St,4105,40.823162,-73.923267,499
371,Congress St & Clinton St,3408,40.6881529,-73.99520919,15398
372,Convent Ave & W 135 St,3944,40.818215,-73.950988,2206
373,Convent Ave & W 151 St,4013,40.82831,-73.942924,823
374,Cooper Square & Astor Pl,3263,40.72951496224949,-73.99075269699097,46761
375,Court St & Nelson St,3397,40.6763947,-73.99869893,7475
376,Court St & State St,3402,40.6902375,-73.99203074,21574
377,Courtlandt Ave & E 149 St,4029,40.816402,-73.919549,1370
378,Courtlandt Ave & E 157 St,4030,40.822267,-73.916792,511
379,Crescent St & 30 Ave,3614,40.768692,-73.9249574,8872
380,Crescent St & 34 Ave,3575,40.76108,-73.930562,7481
381,Crescent St & 35 Ave,3566,40.7596276,-73.9321455,4749
382,Crescent St & Broadway,3592,40.7633589,-73.9286471,12294
383,Crescent St & Ditmars Blvd,3530,40.7787185,-73.9145645,6084
384,Crotona Park East & E 173 St,4227,40.837037,-73.890413,103
