start_station_name,count,start_station_id,start_lat,start_lng
Broadway & W 60 St,31574,6948.1,40.766953,-73.981693
Broadway & W 61 St,5980,6948.11,40.769155,-73.981918
Broadway & Whipple St,13591,7014.12,40.7700301,-73.98196846
"Broadway	& W 48 St",110,4883.03,40.701665,-73.94373
Broadway\t& W 48 St,4054,6708.04,40.7601774,-73.98486793
Bronx Shore Comfort Station,3829,7618.01,40.80046,-73.92404
Brook Ave & E 138 St,4503,7707.08,40.807408,-73.91924
Brook Ave & E 141 St,1904,7740.08,40.809619,-73.917875
Brook Ave & E 148 St,3244,7816.14,40.814383,-73.915368
Brook Ave & E 157 St,2295,7935.07,40.820713,-73.911759
Brooklyn Bridge Park - Pier 2,20429,4756.04,40.698458,-73.997178
Bruckner Blvd & Bryant Ave,2810,7944.11,40.821952,-73.888546
Buchanan Pl & Grand Ave,552,8535.01,40.85834,-73.90626
Bulova Ave & Brooklyn Queens Expressway W,1769,6766.03,40.762507,-73.902534
Bus Slip & State St,21411,4889.06,40.701907,-74.013942
