end_station_name,count,end_station_id,end_lat,end_lng
8 Ave & W 38 St,69084,6450.12,40.751551,-73.993934
8 Ave & W 49 St,26504,6526.05,40.75461,-73.99177
8 Ave & W 52 St,65957,6747.07,40.76171228,-73.98655102
8 St & Astoria Blvd,3128,6816.07,40.76370739,-73.9851615
8 St & Washington St,3,7068.07,40.77259969,-73.93266276
9 Ave & W 18 St,42443,HB603,40.74598388,-74.02819902
9 Ave & W 206 St,879,6190.08,40.743174,-74.003664
9 Ave & W 219 St,315,8594.02,40.86308938,-73.91758338
9 Ave & W 22 St,90425,8696.05,40.871094,-73.911503
9 Ave & W 28 St,799,6266.06,40.745497,-74.001971
9 Ave & W 45 St,62284,6717.06,40.76019252,-73.9912551
9 St & 44 Rd,6454,6361.03,40.74966,-73.9521
Academy St & Nagle Ave,1276,8579.05,40.862562,-73.922661
Adam Clayton Powell Blvd & W 115 St,12818,7643.18,40.802535,-73.953242
Adam Clayton Powell Blvd & W 118 St,14888,7670.09,40.804372,-73.951475
Adam Clayton Powell Blvd & W 123 St,15583,7704.04,40.8078316,-73.949373
Adam Clayton Powell Blvd & W 126 St,26688,7738.04,40.80949535,-73.94776493
Adam Clayton Powell Blvd & W 130 St,10392,7774.02,40.812346,-73.946168
Adam Clayton Powell Blvd & W 132 St,10476,7814.01,40.813539,-73.94521
Adam Clayton Powell Blvd & W 138 St,16279,7855.03,40.81695971,-73.94229591
Adam Clayton Powell Blvd & W 141 St,9165,7893.05,40.819241,-73.941057
Adam Clayton Powell Blvd & W 151 St,5374,8009.05,40.825289,-73.936232
Adams St & 11 St,11,HB507,40.75091553,-74.03354064
Adams St & Prospect St,7259,4821.1,40.70076308,-73.98869812
Adelphi St & Myrtle Ave,22674,4620.02,40.693083,-73.971789
Albany Ave & Fulton St,7409,4237.02,40.6800105,-73.938475
Albany St & Greenwich St,34762,5145.02,40.709267,-74.013247
Albemarle Rd & McDonald Ave,3018,3166.03,40.645074,-73.979681
Alexander Ave & E 134 St,3767,7712.04,40.807466,-73.927107
Allen St & Hester St,63893,5342.1,40.71605866,-73.99190759
Allen St & Rivington St,63757,5414.06,40.72019576,-73.98997825
Allen St & Stanton St,64139,5484.09,40.722055,-73.989111
Amsterdam Ave & W 119 St,11486,7727.07,40.8086249,-73.9596214
Amsterdam Ave & W 125 St,12406,7800.03,40.813358,-73.956461
Amsterdam Ave & W 131 St,3686,7842.16,40.816355,-73.954295
Amsterdam Ave & W 136 St,5112,7920.05,40.819746,-73.951819
Amsterdam Ave & W 152 St,3895,8069.01,40.829523,-73.944279
Amsterdam Ave & W 156 St,2914,8104.1,40.832081,-73.942386
Amsterdam Ave & W 162 St,3361,8172.07,40.83618,-73.939789
Amsterdam Ave & W 167 St,2954,8206.17,40.839443,-73.937044
Amsterdam Ave & W 172 St,2760,8242.04,40.842173,-73.935111
Amsterdam Ave & W 175 St,2281,8278.05,40.844044,-73.933651
Amsterdam Ave & W 180 St,1983,8353.02,40.847396,-73.931205
Amsterdam Ave & W 183 St,2733,8353.09,40.84925,-73.93022
Amsterdam Ave & W 186 St,1290,8394.15,40.851113,-73.928808
Amsterdam Ave & W 189 St,1622,8432.04,40.853142,-73.927094
Amsterdam Ave & W 66 St,24450,7149.05,40.7746671,-73.98470567
Amsterdam Ave & W 73 St,68325,7260.09,40.77966809,-73.98093045
Amsterdam Ave & W 79 St,41465,7311.02,40.7829391,-73.9786517
Amsterdam Ave & W 82 St,42736,7360.1,40.78524672,-73.97667321
Anderson Ave & W 164 St,1174,8096.03,40.832057,-73.927421
Andrew Ave N & Hall of Fame Tce,940,8520.01,40.85834,-73.91008
Andrews Ave S & W 179 St,1088,8483.02,40.855156,-73.91278
Anthony Ave & E 175 St,795,8319.01,40.846465,-73.903869
Anthony Ave & E Burnside Ave,2,8419.03,40.85198,-73.90267
Anthony Ave & E Tremont Ave,1478,8356.04,40.848793,-73.903178
Aqueduct Ave & North St,778,8535.09,40.8604787,-73.90571699
Aqueduct Ave & W 190 St,820,8605.06,40.8649213,-73.9024238
Ashland Pl & Dekalb Ave,6664,4513.09,40.690065,-73.978776
Astor Place,2,JC077,40.7192822,-74.07126188
Astoria Park S & Shore Blvd,13843,7159.08,40.7767,-73.927631
Atlantic Ave & Fort Greene Pl,27088,4354.07,40.68382604,-73.97632328
Atlantic Ave & Furman St,36663,4614.04,40.691652,-73.999979
Audobon Ave & W 179 St,2908,8316.02,40.847305,-73.933291
Audubon Ave & Fort George Ave,1119,8491.07,40.85715781,-73.92717361
Audubon Ave & W 192 St,412,8469.01,40.85564,-73.927128
Ave D & E 8 St,16097,5506.1,40.72368361,-73.97574813
Avenue C & E 18 St,22505,5769.04,40.730563,-73.973984
Avenue D & E 10 St,23814,5575.13,40.725066,-73.975158
Avenue D & E 12 St,535,5575.08,40.72580614,-73.97422494
Avenue D & E 3 St,35986,5436.09,40.72082834,-73.97793172
Avenue D & E 8 St,4940,5575.12,40.72387,-73.975767
Bailey Ave & Sedgwick Ave,467,8643.01,40.86571,-73.90857
Bailey Ave & W 193 St,1656,8676.01,40.87069,-73.90678
Bainbridge Ave & Bedford Park Blvd,1374,8682.06,40.87002,-73.88565
Bainbridge Ave & E 193 St,860,8582.02,40.86389,-73.89246
Bainbridge Ave & E 196 St,754,8615.01,40.86648,-73.89042
Bainbridge Ave & E 198 St,680,8649.03,40.8684871,-73.88845598
Baldwin at Montgomery,5,JC020,40.7236589,-74.0641943
Baltic St & 5 Ave,18660,4208.11,40.6795766,-73.97854971
Bank St & Hudson St,45287,5922.08,40.736529,-74.00618
Bank St & Washington St,34899,5964.01,40.7361967,-74.00859207
Banker St & Meserole Ave,14796,5633.04,40.72606,-73.95621
Barclay St & Church St,23028,5216.04,40.712912,-74.010202
Barrow St & Hudson St,46773,5805.05,40.731724,-74.006744
Barry St & Tiffany St,666,7844.05,40.816126,-73.891559
Bay St & Court St,2561,3931.09,40.671409,-74.001328
Bayard St & Baxter St,43891,5351.03,40.71602118,-73.99974372
Bayard St & Leonard St,19419,5442.05,40.71915572,-73.94885391
Beaver St & Fayette St,12405,4840.06,40.70099,-73.93921
Beck St & Leggett Ave,2264,7807.04,40.815077,-73.899939
Bedford Ave & Bergen St,24243,4066.15,40.676368,-73.952918
Bedford Ave & Montgomery St,9504,3736.03,40.665816,-73.956934
Bedford Ave & Nassau Ave,36199,5550.05,40.72311651,-73.95212324
Bedford Ave & S 9 St,9121,5093.01,40.70853074,-73.96408963
Bedford Park Blvd & Paul Ave,1184,8752.01,40.87444,-73.89186
Bergen Ave,9,JC095,40.72210379,-74.071455
Bergen Ave & E 152 St,2498,7858.02,40.817166,-73.914737
Bergen St & 4 Ave,16754,4322.06,40.68256426,-73.9798978
Bergen St & Flatbush Ave,20743,4281.08,40.68094472,-73.97567332
Bergen St & Smith St,29620,4446.01,40.6867443,-73.99063168
Bergen St & Vanderbilt Ave,28590,4157.1,40.6794388,-73.9680438
Berkeley Pl & 6 Ave,12845,4134.06,40.6765304,-73.97846879
Berkeley Pl & 7 Ave,25833,4051.01,40.67514684,-73.97523209
Berry St & N 8 St,40910,5379.09,40.71901,-73.958525
Bialystoker Pl & Delancey St,19845,5335.03,40.716226,-73.982612
Bleecker St & Crosby St,31759,5679.08,40.72615605,-73.9951019
Bleecker St & Lafayette St,20,5679.08,40.72615605,-73.9951019
Bloomfield St & 15 St,37,HB203,40.75453,-74.02658
"Boerum Pl	& Pacific St",130,4488.09,40.688489,-73.99116
Boerum Pl\t& Pacific St,16216,4488.09,40.68848906,-73.99116039
Boerum St & Broadway,13731,5004.02,40.705381,-73.949765
Bond St & Bergen St,14175,4404.1,40.684967,-73.986208
Bond St & Fulton St,22893,4479.06,40.68962189,-73.98304269
Boone Ave & E 172 St,1959,8110.04,40.832649,-73.885272
Boston Rd & E 167 St,2131,8048.04,40.828199,-73.903719
Boston Rd & Prospect Ave,1656,8133.08,40.833246,-73.896599
Botanical Sq & Webster Ave,2634,8646.02,40.86814,-73.88145
Bradhurst Ave & W 148 St,6669,7992.04,40.825125,-73.941616
Bridge St & Water St,10830,4968.03,40.70296934,-73.9846909
Bridge St & York St,2617,4853.06,40.70133448,-73.98471236
Broad St & Bridge St,19864,4962.08,40.70365182,-74.01167797
Broad St & Water St,2700,4920.11,40.70293782,-74.01149355
Broadway & 12 St,6182,6708.04,40.760177,-73.984868
Broadway & 49 St,1646,6901.01,40.7668,-73.934777
Broadway & 51 St,3774,6587.04,40.755389,-73.911517
Broadway & Battery Pl,44870,6545.07,40.754164,-73.908906
Broadway & Berry St,40192,4962.01,40.70463334,-74.01361706
Broadway & E 14 St,99248,5164.04,40.71044554,-73.96525063
Broadway & E 21 St,50942,5905.12,40.734546,-73.990741
Broadway & E 22 St,12636,6098.1,40.73988841,-73.98958594
Broadway & Ellwood St,3058,6098.07,40.740343,-73.989551
Broadway & Furman Ave,2431,8547.04,40.862058,-73.929719
Broadway & Hancock St,6608,4244.06,40.68139,-73.90756
Broadway & Kosciuszko St,10702,4441.06,40.68663,-73.9168
Broadway & Madison St,10530,4608.01,40.69329,-73.92852
Broadway & Moylan Pl,11375,4483.1,40.68822,-73.91966
Broadway & Roebling St,21087,7823.03,40.8143256,-73.9590255
Broadway & W 122 St,9969,5125.07,40.70924826,-73.96063149
Broadway & W 131 St,7047,7783.18,40.8120562,-73.9612547
Broadway & W 133 St,9133,7865.09,40.817555,-73.957163
Broadway & W 142 St,2980,7903.02,40.8190344,-73.956156
Broadway & W 153 St,3507,7981.16,40.824686,-73.951947
Broadway & W 155 St,6639,8089.05,40.831327,-73.946665
Broadway & W 160 St,8145,8123.02,40.83299,-73.94592
Broadway & W 165 St,3445,8157.06,40.835775,-73.9434
Broadway & W 168 St,5598,8191.01,40.839137,-73.941409
Broadway & W 185 St,3537,8226.06,40.84089603,-73.93972099
Broadway & W 192 St,3610,8416.07,40.852538,-73.93441
Broadway & W 220 St,4072,8511.08,40.857994,-73.932173
Broadway & W 25 St,102352,8715.01,40.872412,-73.912807
Broadway & W 29 St,61783,6173.08,40.74286877,-73.98918629
Broadway & W 36 St,32257,6289.06,40.7462009,-73.98855723
Broadway & W 37 St,23911,6441.01,40.750977,-73.987654
Broadway & W 38 St,35232,6441.02,40.751726,-73.987535
Broadway & W 41 St,63898,6441.05,40.752996,-73.987216
