,end_station_name,count,end_station_id,end_lat,end_lng
512,Adam Clayton Powell Blvd & W 123 St,21032,7704.04,40.8078316,-73.949373
513,Adam Clayton Powell Blvd & W 126 St,26145,7738.04,40.80949534777948,-73.94776493310928
514,Adam Clayton Powell Blvd & W 130 St,11496,7774.02,40.812346,-73.946168
515,Adam Clayton Powell Blvd & W 132 St,12107,7814.01,40.813539,-73.94521
516,Adam Clayton Powell Blvd & W 138 St,19281,7855.03,40.81695971032464,-73.9422959089279
517,Adam Clayton Powell Blvd & W 141 St,11438,7893.05,40.819241,-73.941057
518,Adam Clayton Powell Blvd & W 151 St,7793,8009.05,40.825289,-73.936232
519,Adams St & 11 St,20,HB507,40.750915534784994,-74.03354063630104
520,Adams St & 12 St,17,HB610,40.751889392240685,-74.03329162748534
521,Adams St & 2 St,6,HB407,40.73981372311843,-74.03690412640572
522,Adams St & Prospect St,17237,4821.10,40.70076308326151,-73.98869812488556
523,Adelphi St & Myrtle Ave,31285,4620.02,40.69308257,-73.97178913
524,Albany Ave & Carroll St,5817,3791.02,40.6667,-73.93972
525,Albany Ave & Fulton St,6829,4237.02,40.6800105,-73.938475
526,Albany Ave & Park Pl,3684,3975.02,40.67297,-73.93896
527,Albany Ave & Winthrop St,920,3535.02,40.65791,-73.93967
528,Albany St & Greenwich St,24794,5145.02,40.709267,-74.013247
529,Albee Square W & Fulton St,8388,4556.08,40.69068758614303,-73.98347854614258
530,Albemarle Rd & E 21 St,2231,3180.09,40.64741,-73.95933
531,Albemarle Rd & McDonald Ave,4831,3166.03,40.645074,-73.979681
532,Alexander Ave & E 134 St,7119,7712.04,40.807466,-73.927107
533,Allen St & Hester St,50315,5342.10,40.71605866,-73.99190759
534,Allen St & Rivington St,61728,5414.06,40.72019576,-73.98997825
535,Allen St & Stanton St,67362,5484.09,40.722055,-73.989111
536,Amory Ct & Metropolitan Ave,3216,5217.03,40.71301,-73.90968
537,Amsterdam Ave & W 119 St,21761,7727.07,40.8086249,-73.9596214
538,Amsterdam Ave & W 125 St,13417,7800.03,40.813358,-73.956461
539,Amsterdam Ave & W 131 St,7211,7842.16,40.816355,-73.954295
540,Amsterdam Ave & W 136 St,12291,7920.05,40.819746,-73.951819
541,Amsterdam Ave & W 152 St,7880,8069.01,40.829523,-73.944279
542,Amsterdam Ave & W 156 St,4390,8104.10,40.832081,-73.942386
543,Amsterdam Ave & W 162 St,5281,8172.07,40.83618,-73.939789
544,Amsterdam Ave & W 167 St,5314,8206.17,40.839443,-73.937044
545,Amsterdam Ave & W 172 St,5525,8242.04,40.842173,-73.935111
546,Amsterdam Ave & W 175 St,5475,8278.05,40.844044,-73.933651
547,Amsterdam Ave & W 180 St,2809,8353.02,40.847396,-73.931205
548,Amsterdam Ave & W 183 St,3509,8353.09,40.84925,-73.93022
549,Amsterdam Ave & W 186 St,2940,8394.15,40.851113,-73.928808
550,Amsterdam Ave & W 189 St,2850,8432.11,40.85318758861975,-73.92715752124786
551,Amsterdam Ave & W 60 St,7265,7023.09,40.77114812219016,-73.98699113854883
552,Amsterdam Ave & W 66 St,35806,7149.05,40.7746671,-73.98470567
553,Amsterdam Ave & W 73 St,78198,7260.09,40.77966809007312,-73.98093044757842
554,Amsterdam Ave & W 79 St,58936,7311.02,40.7829391,-73.9786517
555,Amsterdam Ave & W 82 St,47941,7360.1,40.78524672,-73.97667321
556,Anderson Ave & W 164 St,4351,8096.03,40.832057,-73.927421
557,Andrew Ave N & Hall of Fame Tce,2398,8520.01,40.85834,-73.91008
558,Andrews Ave S & W 179 St,2393,8483.02,40.855156,-73.91278
559,Anthony Ave & E 175 St,4806,8319.01,40.846465,-73.903869
560,Anthony Ave & E Tremont Ave,7852,8356.04,40.848793,-73.903178
561,Apache,17,SYS028,40.66976709185003,-73.99474382400513
562,Aqueduct Ave & North St,1610,8535.09,40.8604787,-73.9057169936
563,Aqueduct Ave & W 190 St,1995,8605.06,40.8649213,-73.9024238
564,Arthur Ave & E 183 St,349,8430.03,40.85307,-73.88953
565,Arthur Ave & E Tremont Ave,247,8293.12,40.84616,-73.89322
566,Ash St & Manhattan Ave,9462,6019.04,40.74,-73.95
567,Ashland Pl & Dekalb Ave,13741,4513.09,40.690065,-73.978776
568,Astor Place,2,JC077,40.71928220070702,-74.07126188278198
569,Astoria Park S & Shore Blvd,17191,7159.08,40.7767,-73.927631
570,Atlantic Ave & Fort Greene Pl,33504,4354.07,40.68382604,-73.97632328
571,Atlantic Ave & Furman St,37235,4614.04,40.69165183,-73.9999786
